year,examtype,csv_id,sub,question,topic,type,difficulty,repeatation
2024,FAT,101,Computer architecture and Design,Describe instruction pipeline hazards and how forwarding reduces stalls.,PIPELINE HAZARDS,ANALYSIS BASED,MODERATE,1
2023,CAT2,102,Computer architecture and Design,Explain how virtual memory uses paging to extend usable memory while isolating processes.,VIRTUAL MEMORY,THEORY,MODERATE,1
2022,FAT,103,Computer architecture and Design,Discuss hierarchy of buses in processor architecture and their role in communication.,SYSTEM BUS,CONCEPTUAL,MODERATE,1
2025,CAT2,104,Computer architecture and Design,"A smartphone processor must manage multiple background apps efficiently. Discuss how multi-level cache hierarchy improves performance, explain cache coherence problems, and evaluate impact if cache replacement policy is suboptimal.",CACHE COHERENCE,ANALYSIS BASED,HARD,1
2024,CAT1,105,Computer architecture and Design,"An autonomous vehicle requires low-latency response from sensors to CPUs. Explain how pipelining and parallel execution units improve throughput, and analyze how branch prediction failure affects safety-critical performance.",PIPELINING,ANALYSIS BASED,HARD,1
2025,FAT,106,Computer architecture and Design,"A server processor handles simultaneous database transactions. Explain how memory hierarchy and bus arbitration ensure efficient access, and analyze consequences of bus contention.",BUS ARBITRATION,ANALYSIS BASED,HARD,1
2025,FAT,107,Computer architecture and Design,A fault-tolerant system mirrors instructions across multiple processors. Explain how control units synchronize execution and discuss failure handling mechanism in case one processor diverges.,CONTROL SYNCHRONIZATION,ANALYSIS BASED,HARD,1
2025,CAT1,108,Analysis of Algorithm,What is time complexity?,TIME COMPLEXITY,CONCEPTUAL,EASY,1
2025,FAT,109,Analysis of Algorithm,Define polynomial time algorithm.,COMPLEXITY CLASSES,CONCEPTUAL,EASY,1
2023,CAT2,110,Analysis of Algorithm,What is divide and conquer strategy?,DIVIDE AND CONQUER,CONCEPTUAL,EASY,1
2022,CAT2,111,Analysis of Algorithm,Explain the concept of dynamic programming and how overlapping subproblems are reused to reduce computation.,DYNAMIC PROGRAMMING,THEORY,MODERATE,1
2022,CAT2,112,Analysis of Algorithm,Explain greedy choice property with an example problem.,GREEDY,THEORY,MODERATE,1
2025,CAT2,113,Analysis of Algorithm,Describe the recurrence T(n)=T(n/2)+n and solve it using Master Theorem.,RECURRENCE,NUMERICAL,MODERATE,1
2021,CAT1,114,Analysis of Algorithm,Explain how Floyd-Warshall algorithm determines all-pairs shortest path.,GRAPH ALGORITHMS,ANALYSIS BASED,MODERATE,1
2022,FAT,115,Analysis of Algorithm,Describe Knapsack problem and how DP solves it optimally.,KNAPSACK,ANALYSIS BASED,MODERATE,1
2024,CAT1,116,Analysis of Algorithm,Explain backtracking with N-Queens problem example.,BACKTRACKING,ANALYSIS BASED,MODERATE,1
2021,FAT,117,Analysis of Algorithm,Explain how divide and conquer applies to merge sort and derive its complexity.,SORTING,THEORY,MODERATE,1
2024,CAT1,118,Analysis of Algorithm,Describe role of memoization in optimization problems.,MEMOIZATION,THEORY,MODERATE,1
2022,CAT2,119,Analysis of Algorithm,A ride-sharing platform must optimize cost and travel time across multiple drivers and passengers. Explain how shortest path and minimum spanning tree algorithms help reduce route cost. Discuss time complexity challenges in real-time routing.,OPTIMIZATION,ANALYSIS BASED,HARD,1
2024,CAT2,120,Analysis of Algorithm,An airline ticketing system allocates cheapest seats dynamically. Explain greedy strategy usage and evaluate cases where greedy fails compared to dynamic programming.,GREEDY VS DP,ANALYSIS BASED,HARD,1
2021,CAT2,121,Analysis of Algorithm,An e-commerce site suggests product recommendations based on customer preference graphs. Explain how DFS/BFS traversal determines similarity and analyze complexity under rapid data growth.,GRAPH SEARCH,ANALYSIS BASED,HARD,1
2022,CAT1,122,Analysis of Algorithm,A compiler must prune invalid expression combinations while searching optimal instruction sequences. Explain how branch pruning reduces backtracking space and analyze worst-case complexity.,BACKTRACKING OPTIMIZATION,ANALYSIS BASED,HARD,1
2024,CAT2,123,Artificial Intelligence,"a) Describe different approaches to Artificial Intelligence. List the timeline of the evolution
of artificial intelligence and briefly describe each period/breakthrough.
[5 M]
b) Consider an artificial agent learning to play chess, where the agent learns the game's rules
and optimal moves through multiple plays and feedback from critics. Which type of agent
would be most suitable for a chess-playing agent? Justify your answer. Also, briefly describe
the agent architecture with a suitable diagram",ARTIFICIAL AGENT,THEORY,MODERATE,1
2024,CAT2,124,Artificial Intelligence,"Describe the task environments and their characteristics for the following agents.
i. Rental Bike/Car booking
ii. Cooking Robot
iii. Grocery Delivery
iv. Playing Chess",PEAS,ANALYSIS,MODERATE,1
2024,CAT2,125,Artificial Intelligence,"Explain each step of the genetic algorithm with correct terminology in detail using the eight-
queen problem and appropriate examples. Calculations must be provided along with the
steps when necessary",GENETIC ALGORITHM,CONCEPTUAL,HARD,1
2024,CAT1,126,Artificial Intelligence,"Illustrate the PEAS components and classify the environment type for the provided scenarios,
a) Customer browsing an online shopping website
b) Chatbot customer service
c) Home automation system",PEAS,ANALYSIS,MODERATE,1
2024,CAT1,127,Artificial Intelligence,"a) Consider a scenario where a bank wants to enhance its fraud detection system. Justify how Al can identify fraudulent transactions, prevent money laundering and improve risk assessment. (5 marks)
b) Illustrate how the subfield of Al Expert system works and where is it typically applied? (5 marks)",RISK ASSESSMENT,ANALYSIS,MODERATE,1
2024,CAT1,128,Artificial Intelligence,"A manufacturing plant aims to create an optimal production schedule that reduces production time and efficiently utilizes resources. Discuss how hill climbing could be applied to determine a feasible schedule, highlighting potential obstacles. Also, illustrate how simulated annealing can be used to overcome suboptimal solutions and achieve a better schedule.",SIMULATED ANNEALING,ANALYSIS,HARD,1
2024,CAT1,129,Artificial Intelligence,"a) Suppose a genetic algorithm uses chromosomes of the form x = abcdefgh 
with a fixed length of eight genes. Each gene can be any digit between 0 
and 9. Let the fitness of individual x be calculated as: 
 f(x)=(a+b)-(c+d)+(e+f)-(g+h)
and let the initial population consist of four individuals with the following 
chromosomes: 
x1 = 6 5 4 1 3 5 3 2,
x2 = 8 7 1 2 6 6 0 1 ,
x3 = 2 3 9 2 1 2 8 5 ,
x4 = 4 1 8 5 2 0 9 4 
 
Evaluate each individual's fitness, showing all your workings and arrange 
them in order with the fittest first and the least fit last.
b) With a neat sketch of the hill-climbing algorithm's state-space landscape, 
explain why the hill-climbing search gets struck. List the variants of the hill 
climbing algorithm and describe how they overcome this problem",GENETIC ALGORITHM,NUMERICAL,MODERATE,2
2025,FAT,130,Computer Networks,"A company wants to design a network for its new office building that spans four floors. The IT team needs to connect various departments such as finance, HR, and engineering located on different floors. The network must support high-speed internet access, secure communications, and the ability to handle large amounts of data being transferred within the office.
The following requirements must be met.
a) Each department should have its own dedicated segment to reduce traffic congestion.
b) The network should be scalable to accommodate future expansions.
c) Security is important, so there must be provisions for isolating department and preventing unauthorized access to data.
d) A wireless network should cover common areas like the lobby and cafeteria.",VLAN ,TECHNICAL,HARD,2
2023,CAT1,131,Artificial Intelligence,"An Al agent is supposed to manage the energy consumption of a smart home. The agent's objective is to minimize the electricity bill while ensuring the residents' comfort. It has access to weather forecasts, real-time electricity pricing from the grid, and sensors in each room (temperature, occupancy). It can control the heating, ventilation, and air conditioning (HVAC) system, the smart lighting, and high-consumption appliances like the dishwasher and washing machine.
What is the correct PEAS categorization for this agent? Classify this task environment according to the following properties- Deterministic vs. Stochastic, Static vs. Dynamic, and Episodic vs. Sequential, and briefly justify your choices. What strategy should the agent adopt to effectively balance cost minimization with maintaining comfort?",PEAS ,ANALYSIS,HARD,2
2025,CAT1,132,Microprocessor and Microcontroller,"With the help of interrupt programming, develop an ALP of 8051 microcontrollers to perform
the following tasks; continuously get numeric data from P0 and send it to P1. If the data is even,
serially send it through port P2 with a baud rate of 19200. Otherwise, the data will be sent
through P2 with a baud rate of 9600",ARCHITECTURE,THEORY,EASY,1
2022,CAT1,133,Microprocessor and Microcontroller,Explain the concept of addressing modes in the context of Microprocessor and Microcontroller. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,ADDRESSING MODES,THEORY,EASY,1
2021,CAT1,134,Microprocessor and Microcontroller,Explain the concept of interrupts in the context of Microprocessor and Microcontroller. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,INTERRUPTS,THEORY,EASY,1
2021,CAT1,135,Microprocessor and Microcontroller,Explain the concept of timers in the context of Microprocessor and Microcontroller. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,TIMERS,THEORY,EASY,1
2022,CAT1,136,Microprocessor and Microcontroller,Explain the concept of i/o ports in the context of Microprocessor and Microcontroller. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,I/O PORTS,THEORY,EASY,1
2023,CAT2,137,Microprocessor and Microcontroller,Discuss the working principles of instruction set within Microprocessor and Microcontroller systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,INSTRUCTION SET,CONCEPTUAL,MODERATE,1
2021,CAT2,138,Microprocessor and Microcontroller,"A football stadium is designed with a seating capacity of precisely 1000 persons. It is assumed
that there is just one entry and exit gate accessible within the stadium. The entry gate is
configured so that whenever a person enters a stadium, a high-to-low pulse will be generated and
that will be given to the port3.4 of the 8051 microcontroller. The stepper motor regulates the
opening and shutting of the entry gate. To open/close the entry gate, send a logic 1/logic 0 to
10
port0.5 of the 8051 microcontroller, which connects to the stepper motor. Develop an ALP of
8051 that counts and allows maximum up to 1000 persons and closes the gate after that
irrespective of persons leaving from the exit gate. Use the mode 2 timer programming",MEMORY INTERFACING,CONCEPTUAL,MODERATE,1
2025,CAT2,139,Microprocessor and Microcontroller,Discuss the working principles of adc/dac within Microprocessor and Microcontroller systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,ADC/DAC,CONCEPTUAL,MODERATE,1
2022,CAT2,140,Microprocessor and Microcontroller,Discuss the working principles of serial communication within Microprocessor and Microcontroller systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,SERIAL COMMUNICATION,CONCEPTUAL,MODERATE,1
2025,CAT2,141,Microprocessor and Microcontroller,Discuss the working principles of stack operations within Microprocessor and Microcontroller systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,STACK OPERATIONS,CONCEPTUAL,MODERATE,1
2024,FAT,142,Microprocessor and Microcontroller,Develop an 8051 ALP in which 8051 gets data from P1 and sends it to P2 continuously while incoming data from the serial port is sent to PO. Assume that XTAL=11.0592 MHz. Set the baud rate at 9600.,ASSEMBLY,ANALYSIS,HARD,2
2024,FAT,143,Microprocessor and Microcontroller,"Explain the concept of interrupt handling in an 8-bit embedded system. How does the processor manage multiple interrupts, and what is the significance of interrupt prioritization in embedded systems?",MICROCONTROLLER APPLICATIONS,ANALYSIS,HARD,1
2023,FAT,144,Microprocessor and Microcontroller,Develop an 8051 ALP in which 8051 gets data from P1 and sends it to P2 continuously while incoming data from the serial port is sent to PO. Assume that XTAL=11.0592 MHz. Set the baud rate at 9600.,ASSEMBLY,ANALYSIS,HARD,2
2022,FAT,145,Microprocessor and Microcontroller,"Consider a real-world system where flag register plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",FLAG REGISTER,ANALYSIS,HARD,1
2021,FAT,146,Microprocessor and Microcontroller,"Develop an 8051 assembly code to display the string ""HELLO"" on a common cathode 7-segment display with a 500ms interval between each character. Assume that the pattern for ""H"", ""E"", ""L"", ""L"", ""O"" are stored in ROM starting at 400H. Use Timer 1 to generate 500ms of delay.",ASSEMBLY,ANALYSIS,HARD,1
2023,CAT1,147,Compiler Design,Explain the concept of lexical analysis in the context of Compiler Design. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,LEXICAL ANALYSIS,THEORY,EASY,1
2025,CAT1,148,Compiler Design,Explain the concept of parsing in the context of Compiler Design. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,PARSING,THEORY,EASY,1
2022,CAT1,149,Compiler Design,Explain the concept of syntax tree in the context of Compiler Design. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,SYNTAX TREE,THEORY,EASY,1
2021,CAT1,150,Compiler Design,Explain the concept of intermediate code in the context of Compiler Design. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,DMA OPERATIONS,THEORY,EASY,1
2022,CAT1,151,Compiler Design,Explain the concept of symbol table in the context of Compiler Design. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,SYMBOL TABLE,THEORY,EASY,1
2021,CAT2,152,Compiler Design,Discuss the working principles of semantic analysis within Compiler Design systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,SEMANTIC ANALYSIS,CONCEPTUAL,MODERATE,1
2023,CAT2,153,Compiler Design,Discuss the working principles of code optimization within Compiler Design systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,CODE OPTIMIZATION,CONCEPTUAL,MODERATE,1
2024,CAT2,154,Compiler Design,Discuss the working principles of code generation within Compiler Design systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,CODE GENERATION,CONCEPTUAL,MODERATE,1
2021,CAT2,155,Compiler Design,Discuss the working principles of regular expressions within Compiler Design systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,REGULAR EXPRESSIONS,CONCEPTUAL,MODERATE,1
2024,CAT2,156,Compiler Design,Discuss the working principles of dfa/nfa within Compiler Design systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,DFA/NFA,CONCEPTUAL,MODERATE,1
2023,FAT,157,Compiler Design,"Consider a real-world system where type checking plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",TYPE CHECKING,ANALYSIS,HARD,1
2024,FAT,158,Compiler Design,"Consider a real-world system where runtime environment plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",RUNTIME ENVIRONMENT,ANALYSIS,HARD,1
2023,FAT,159,Compiler Design,"Consider a real-world system where activation records plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",ACTIVATION RECORDS,ANALYSIS,HARD,1
2023,FAT,160,Compiler Design,"Consider a real-world system where garbage collection plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",GARBAGE COLLECTION,ANALYSIS,HARD,1
2021,FAT,161,Compiler Design,"Consider a real-world system where linking and loading plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",LINKING AND LOADING,ANALYSIS,HARD,1
2022,CAT1,162,Embedded Systems,Explain the concept of embedded architecture in the context of Embedded Systems. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,EMBEDDED ARCHITECTURE,THEORY,EASY,1
2024,CAT1,163,Embedded Systems,Explain the concept of rtos in the context of Embedded Systems. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,RTOS,THEORY,EASY,1
2022,CAT1,164,Embedded Systems,Explain the concept of scheduling in the context of Embedded Systems. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,SCHEDULING,THEORY,EASY,1
2023,CAT1,165,Embedded Systems,Explain the concept of memory constraints in the context of Embedded Systems. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,MEMORY CONSTRAINTS,THEORY,EASY,1
2025,CAT1,166,Embedded Systems,Explain the concept of interrupt handling in the context of Embedded Systems. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,INTERRUPT HANDLING,THEORY,EASY,1
2024,CAT2,167,Embedded Systems,Discuss the working principles of device drivers within Embedded Systems systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,DEVICE DRIVERS,CONCEPTUAL,MODERATE,1
2025,CAT2,168,Embedded Systems,Discuss the working principles of embedded c within Embedded Systems systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,EMBEDDED C,CONCEPTUAL,MODERATE,1
2025,CAT2,169,Embedded Systems,Discuss the working principles of communication protocols within Embedded Systems systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,COMMUNICATION PROTOCOLS,CONCEPTUAL,MODERATE,1
2023,CAT2,170,Embedded Systems,Discuss the working principles of sensor interfacing within Embedded Systems systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,SENSOR INTERFACING,CONCEPTUAL,MODERATE,1
2024,CAT2,171,Embedded Systems,Discuss the working principles of actuators within Embedded Systems systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,ACTUATORS,CONCEPTUAL,MODERATE,1
2025,FAT,172,Embedded Systems,"Consider a real-world system where power management plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",POWER MANAGEMENT,ANALYSIS,HARD,1
2021,FAT,173,Embedded Systems,"Consider a real-world system where firmware design plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",FIRMWARE DESIGN,ANALYSIS,HARD,1
2021,FAT,174,Embedded Systems,"Consider a real-world system where state machines plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",STATE MACHINES,ANALYSIS,HARD,1
2023,FAT,175,Embedded Systems,"Consider a real-world system where embedded security plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",EMBEDDED SECURITY,ANALYSIS,HARD,1
2025,FAT,176,Embedded Systems,"Consider a real-world system where testing and debugging plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",TESTING AND DEBUGGING,ANALYSIS,HARD,1
2025,CAT1,177,Software Engineering,Explain the concept of sdlc in the context of Software Engineering. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,SDLC,THEORY,EASY,1
2021,CAT1,178,Software Engineering,Explain the concept of requirements analysis in the context of Software Engineering. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,REQUIREMENTS ANALYSIS,THEORY,EASY,1
2022,CAT1,179,Software Engineering,Explain the concept of design patterns in the context of Software Engineering. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,DESIGN PATTERNS,THEORY,EASY,1
2023,CAT1,180,Software Engineering,Explain the concept of uml in the context of Software Engineering. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,UML,THEORY,EASY,1
2023,CAT1,181,Software Engineering,Explain the concept of agile in the context of Software Engineering. Describe its purpose and how it is applied in real systems. Provide a simple example that demonstrates its use.,AGILE,THEORY,EASY,1
2021,CAT2,182,Software Engineering,Discuss the working principles of waterfall within Software Engineering systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,WATERFALL,CONCEPTUAL,MODERATE,1
2022,CAT2,183,Software Engineering,Discuss the working principles of testing strategies within Software Engineering systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,TESTING STRATEGIES,CONCEPTUAL,MODERATE,1
2024,CAT2,184,Software Engineering,Discuss the working principles of version control within Software Engineering systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,VERSION CONTROL,CONCEPTUAL,MODERATE,1
2023,CAT2,185,Software Engineering,Discuss the working principles of software metrics within Software Engineering systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,SOFTWARE METRICS,CONCEPTUAL,MODERATE,1
2025,CAT2,186,Software Engineering,Discuss the working principles of risk management within Software Engineering systems. Describe practical use cases where this concept is essential. Compare it with at least one alternative approach. Include a multi-step example to illustrate your explanation.,RISK MANAGEMENT,CONCEPTUAL,MODERATE,1
2024,FAT,187,Software Engineering,"Consider a real-world system where architecture styles plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",ARCHITECTURE STYLES,ANALYSIS,HARD,1
2022,FAT,188,Software Engineering,"Consider a real-world system where refactoring plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",REFACTORING,ANALYSIS,HARD,1
2025,FAT,189,Software Engineering,"Consider a real-world system where devops plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",DEVOPS,ANALYSIS,HARD,1
2024,FAT,190,Software Engineering,"Consider a real-world system where maintainability plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",MAINTAINABILITY,ANALYSIS,HARD,1
2022,FAT,191,Software Engineering,"Consider a real-world system where project management plays a critical role. Describe the architecture and operational flow in detail. Analyze the challenges that arise when implementing this concept. Explain how the system ensures reliability and performance. Finally, evaluate optimization strategies and justify the best one.",PROJECT MANAGEMENT,ANALYSIS,HARD,1
